2022-05-17 22:05:391 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (39a7fcb9456a43181756630efa6aba08)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:454 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (39a7fcb9456a43181756630efa6aba08)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:477 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:234 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:944 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (1551e7c94ad344c9519b2e5940daa445)] -> id: Email]
2022-05-17 22:05:35 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (1551e7c94ad344c9519b2e5940daa445)] -> name: Password]
2022-05-17 22:05:472 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1551e7c94ad344c9519b2e5940daa445)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:511 INFO  LoginPage :78 - verify sign Out Link Proxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Log out']'
2022-05-17 22:05:782 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:332 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:953 INFO  LoginPage :46 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f0da7f279a33f465e0401323ec77b009)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 22:05:73 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:169 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:970 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (d525f47df5fd2bbc4c1c2b2c22abe585)] -> id: Email]
2022-05-17 22:05:56 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (d525f47df5fd2bbc4c1c2b2c22abe585)] -> name: Password]
2022-05-17 22:05:604 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d525f47df5fd2bbc4c1c2b2c22abe585)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:708 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (d525f47df5fd2bbc4c1c2b2c22abe585)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:634 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:467 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:528 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (bfdf0230c99b3d9b19bb493bb6acdcc8)] -> id: Email]
2022-05-17 22:05:744 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (bfdf0230c99b3d9b19bb493bb6acdcc8)] -> name: Password]
2022-05-17 22:05:273 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (bfdf0230c99b3d9b19bb493bb6acdcc8)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:399 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (bfdf0230c99b3d9b19bb493bb6acdcc8)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:416 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:194 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:852 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (4490e4314c7c22cf9e63d029c17dffd3)] -> id: Email]
2022-05-17 22:05:935 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (4490e4314c7c22cf9e63d029c17dffd3)] -> name: Password]
2022-05-17 22:05:363 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4490e4314c7c22cf9e63d029c17dffd3)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:424 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4490e4314c7c22cf9e63d029c17dffd3)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:383 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:975 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:639 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (ebf4e11460c8c05fb3e97face4cc791c)] -> id: Email]
2022-05-17 22:05:726 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (ebf4e11460c8c05fb3e97face4cc791c)] -> name: Password]
2022-05-17 22:05:283 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ebf4e11460c8c05fb3e97face4cc791c)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:356 INFO  LoginPage :78 - verify sign Out Link Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out'
2022-05-17 22:05:211 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:742 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:581 INFO  LoginPage :46 - Getting text from : [[ChromeDriver: chrome on WINDOWS (402b9bbe3a7b95d52c62a3f9b4bd170e)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 22:05:740 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:925 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:974 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (4059a4018e0d6d1e35ec67618e1ea498)] -> id: Email]
2022-05-17 22:05:93 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (4059a4018e0d6d1e35ec67618e1ea498)] -> name: Password]
2022-05-17 22:05:651 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4059a4018e0d6d1e35ec67618e1ea498)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:750 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4059a4018e0d6d1e35ec67618e1ea498)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:346 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:566 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:485 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (c45beeebb0d7eb57ebad62dc62cbe7ae)] -> id: Email]
2022-05-17 22:05:599 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (c45beeebb0d7eb57ebad62dc62cbe7ae)] -> name: Password]
2022-05-17 22:05:202 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c45beeebb0d7eb57ebad62dc62cbe7ae)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:306 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (c45beeebb0d7eb57ebad62dc62cbe7ae)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:385 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:589 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:477 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (080a218e9df7f0d945b6c33c76ec22e1)] -> id: Email]
2022-05-17 22:05:581 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (080a218e9df7f0d945b6c33c76ec22e1)] -> name: Password]
2022-05-17 22:05:142 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (080a218e9df7f0d945b6c33c76ec22e1)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:224 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (080a218e9df7f0d945b6c33c76ec22e1)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:292 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:491 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:397 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (251e0d7e1ab787a9ff215d1ab70edd8b)] -> id: Email]
2022-05-17 22:05:508 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (251e0d7e1ab787a9ff215d1ab70edd8b)] -> name: Password]
2022-05-17 22:05:53 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (251e0d7e1ab787a9ff215d1ab70edd8b)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:151 INFO  LoginPage :84 - Check log out link is displayed : Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out'
2022-05-17 22:05:697 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:381 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:204 INFO  LoginPage :46 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4ae1932cb0088d6111e3dd483715a1ec)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 22:05:262 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:742 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:671 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (32082ea4639e9f94ed2563b6ebfbd935)] -> id: Email]
2022-05-17 22:05:773 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (32082ea4639e9f94ed2563b6ebfbd935)] -> name: Password]
2022-05-17 22:05:410 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (32082ea4639e9f94ed2563b6ebfbd935)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:514 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (32082ea4639e9f94ed2563b6ebfbd935)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:529 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:140 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:149 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (141adc85e0c17d2a8193a29a3d2a407c)] -> id: Email]
2022-05-17 22:05:271 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (141adc85e0c17d2a8193a29a3d2a407c)] -> name: Password]
2022-05-17 22:05:846 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (141adc85e0c17d2a8193a29a3d2a407c)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:978 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (141adc85e0c17d2a8193a29a3d2a407c)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:35 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:560 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:396 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (a05867bba8bbf522107a5c2b14874513)] -> id: Email]
2022-05-17 22:05:511 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (a05867bba8bbf522107a5c2b14874513)] -> name: Password]
2022-05-17 22:05:94 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a05867bba8bbf522107a5c2b14874513)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:197 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a05867bba8bbf522107a5c2b14874513)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:133 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:631 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:475 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (c6efcc759abd1416563fa8908f710ab2)] -> id: Email]
2022-05-17 22:05:606 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (c6efcc759abd1416563fa8908f710ab2)] -> name: Password]
2022-05-17 22:05:158 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c6efcc759abd1416563fa8908f710ab2)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:203 INFO  LoginPage :84 - Check log out link is displayed : Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out')]'
2022-05-17 22:05:388 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:252 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:56 INFO  LoginPage :46 - Getting text from : [[ChromeDriver: chrome on WINDOWS (52ea8ae5045c84d61eac09a97b7ec19f)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 22:05:319 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:561 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:690 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (eddf2a8946c773f8719480235358b124)] -> id: Email]
2022-05-17 22:05:811 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (eddf2a8946c773f8719480235358b124)] -> name: Password]
2022-05-17 22:05:375 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (eddf2a8946c773f8719480235358b124)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:474 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (eddf2a8946c773f8719480235358b124)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:538 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:556 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:405 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (aea71dd2130cbcd9a2dcf4c7ccba9070)] -> id: Email]
2022-05-17 22:05:515 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (aea71dd2130cbcd9a2dcf4c7ccba9070)] -> name: Password]
2022-05-17 22:05:306 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (aea71dd2130cbcd9a2dcf4c7ccba9070)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:418 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (aea71dd2130cbcd9a2dcf4c7ccba9070)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:458 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:34 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:893 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (51b6478344e645d5fa29b510e05b9348)] -> id: Email]
2022-05-17 22:05:10 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (51b6478344e645d5fa29b510e05b9348)] -> name: Password]
2022-05-17 22:05:581 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (51b6478344e645d5fa29b510e05b9348)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:687 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (51b6478344e645d5fa29b510e05b9348)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:796 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:167 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:49 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (a6baaa19a4051514b0c6f6a1b3da2ddd)] -> id: Email]
2022-05-17 22:05:158 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (a6baaa19a4051514b0c6f6a1b3da2ddd)] -> name: Password]
2022-05-17 22:05:711 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a6baaa19a4051514b0c6f6a1b3da2ddd)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:828 INFO  LoginPage :84 - Check log out link is displayed : Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out')]'
2022-05-17 23:05:606 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 23:05:766 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 23:05:729 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 19:05:360 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 19:05:341 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-18 19:05:954 INFO  LoginPage :46 - Getting text from : [[ChromeDriver: chrome on WINDOWS (c53fd17bcaecf9787635dc192e11400c)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-18 19:05:834 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 19:05:610 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-18 19:05:170 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (3db34ad29ccd928c436c45fa3923adff)] -> id: Email]
2022-05-18 19:05:236 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (3db34ad29ccd928c436c45fa3923adff)] -> name: Password]
2022-05-18 19:05:634 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3db34ad29ccd928c436c45fa3923adff)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 19:05:685 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (3db34ad29ccd928c436c45fa3923adff)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-18 19:05:502 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 19:05:255 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-18 19:05:845 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (88d5798e65ca56944601c2bad61fa3b5)] -> id: Email]
2022-05-18 19:05:909 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (88d5798e65ca56944601c2bad61fa3b5)] -> name: Password]
2022-05-18 19:05:357 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (88d5798e65ca56944601c2bad61fa3b5)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 19:05:406 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (88d5798e65ca56944601c2bad61fa3b5)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-18 19:05:185 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 19:05:545 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-18 19:05:104 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (fa65e71940d8e639eef18cd77706e852)] -> id: Email]
2022-05-18 19:05:174 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (fa65e71940d8e639eef18cd77706e852)] -> name: Password]
2022-05-18 19:05:577 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (fa65e71940d8e639eef18cd77706e852)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 19:05:624 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (fa65e71940d8e639eef18cd77706e852)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-18 19:05:354 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-18 19:05:240 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-18 19:05:791 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (ea2487f31ed96c8e6e3af8b0563789ce)] -> id: Email]
2022-05-18 19:05:858 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (ea2487f31ed96c8e6e3af8b0563789ce)] -> name: Password]
2022-05-18 19:05:261 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ea2487f31ed96c8e6e3af8b0563789ce)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-18 19:05:337 INFO  LoginPage :84 - Check log out link is displayed : Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out')]'
